species,y,x
Rusa unicolor,12.164161,99.629466
Rusa unicolor,14.499273,101.322695
Rusa unicolor,14.430773,101.238641
Rusa unicolor,14.432402,101.202281
Rusa unicolor,14.533685,101.202528
Rusa unicolor,14.467044,101.259545
Rusa unicolor,14.274319,101.575592
Rusa unicolor,14.498918,100.978535
Rusa unicolor,14.52979,101.259437
Rusa unicolor,14.567646,101.233602
Rusa unicolor,14.51841,101.329032
Rusa unicolor,10.538237,99.0285
Rusa unicolor,8.863984,98.656227
Rusa unicolor,14.535989,101.295776
Rusa unicolor,14.449802,101.381924
Rusa unicolor,14.509074,101.25509
Rusa unicolor,14.569493,101.21819
Rusa unicolor,14.455351,101.399259
Rusa unicolor,14.541374,101.224324
Rusa unicolor,14.480053,101.234201
Rusa unicolor,14.42506,101.529669
Rusa unicolor,14.435061,101.264479
Rusa unicolor,14.509539,101.260236
Rusa unicolor,14.203598,101.41483
Rusa unicolor,14.39983,101.532487
Rusa unicolor,14.432288,101.361894
Rusa unicolor,14.402646,101.329818
Rusa unicolor,14.435008,101.307794
Rusa unicolor,14.511311,101.38809
Rusa unicolor,14.55666,101.331306
Rusa unicolor,14.536427,101.381548
Rusa unicolor,14.214124,101.76667
Rusa unicolor,16.835231,101.608335
Rusa unicolor,16.254614,101.585341
Rusa unicolor,14.436762,101.223075
Rusa unicolor,14.392619,101.459851
Rusa unicolor,14.43497,101.006707
Rusa unicolor,14.422182,101.394417
Rusa unicolor,15.705174,99.208677
Rusa unicolor,14.5101,101.354445
Rusa unicolor,14.2379,101.431185
Rusa unicolor,16.847638,101.754334
Rusa unicolor,14.342189,101.548877
Rusa unicolor,14.388266,101.503047
Rusa unicolor,14.468092,101.309923
Rusa unicolor,14.310794,101.597789
Rusa unicolor,15.676845,99.213118
Rusa unicolor,14.413159,101.204569
Rusa unicolor,14.332603,101.461365
Rusa unicolor,14.227888,101.48804
Rusa unicolor,14.451199,101.386915
Rusa unicolor,14.545955,101.466906
Rusa unicolor,15.544366,99.298816
Rusa unicolor,14.304073,101.311291
Rusa unicolor,14.407972,101.242206
