species,BIO1,BIO12,x,y
Peromyscus maniculatus,-0.506757535,0.375945204,-79.77797667,38.92160248
Peromyscus maniculatus,-1.649597294,-1.24046855,-105.2708367,39.46311748
Peromyscus maniculatus,-0.248001364,0.384753998,-87.69242667,41.71248748
Peromyscus maniculatus,-1.541782222,-0.522551815,-92.52440667,47.58584248
Peromyscus maniculatus,0.743897295,-0.764793658,-112.2272217,34.54782748
Peromyscus maniculatus,1.584854853,-0.531360609,-116.8509267,33.67307248
Peromyscus maniculatus,-0.204875335,0.626995841,-81.77741667,36.17237248
Peromyscus maniculatus,0.11856988,-1.002631104,-116.8925817,44.00351248
Peromyscus maniculatus,-1.433967151,-0.130560468,-72.44669667,44.33675248
Peromyscus maniculatus,-0.312690406,0.534503501,-82.90210167,40.37952748
Peromyscus maniculatus,-0.334253421,0.424393572,-80.61107667,40.17125248
Peromyscus maniculatus,-1.520219208,-0.42125068,-68.78105667,45.96129748
Peromyscus maniculatus,-0.183312321,-0.610639758,-117.8923017,46.04460748
Peromyscus maniculatus,-0.420505478,0.292261658,-85.31809167,42.29565748
Peromyscus maniculatus,-0.420505478,0.499268324,-81.98569167,40.42118248
Peromyscus maniculatus,-0.636135621,0.204173715,-84.11009667,42.58724248
Peromyscus maniculatus,-1.110521936,-0.311140752,-87.44249667,46.62777748
Peromyscus maniculatus,-0.097060263,0.512481515,-89.02538667,40.50449248
Peromyscus maniculatus,-1.563345236,-0.496125432,-91.23310167,47.33591248
Peromyscus maniculatus,-0.355816435,-1.011439898,-118.6837467,42.75386248
Peromyscus maniculatus,-1.067395907,-0.800028835,-113.8101117,47.41922248
Peromyscus maniculatus,-0.248001364,-0.813242027,-103.7296017,42.54558748
Peromyscus maniculatus,-0.010808206,0.604973856,-82.19396667,39.25484248
Peromyscus maniculatus,-0.161749306,-0.795624438,-103.6462917,42.87882748
Peromyscus maniculatus,-0.118623278,0.52129031,-81.56914167,41.17097248
Peromyscus maniculatus,0.57139318,-0.156986851,-122.7659367,38.04684748
Peromyscus maniculatus,-0.593009593,-0.852881601,-117.4340967,47.66915248
Peromyscus maniculatus,-0.140186292,0.499268324,-74.44613667,40.50449248
Peromyscus maniculatus,0.442015094,1.151119102,-88.02566667,36.92216248
Peromyscus maniculatus,0.053880837,0.212982509,-96.60659667,40.83773248
Peromyscus maniculatus,-1.304589065,-0.302331957,-89.56690167,46.25288248
Peromyscus maniculatus,-0.938017821,-0.187817631,-85.56802167,45.75302248
Peromyscus maniculatus,0.334200023,0.878046479,-80.31949167,36.21402748
Peromyscus maniculatus,-0.571446578,-1.262490536,-114.1433517,39.00491248
Peromyscus maniculatus,0.700771266,1.195163074,-94.23226167,34.63113748
Peromyscus maniculatus,-1.239900022,-0.064494511,-72.61331667,43.71192748
Peromyscus maniculatus,-0.226438349,-0.024854937,-123.1408317,45.87798748
Peromyscus maniculatus,1.239846624,-0.733962878,-116.5593417,33.83969248
Peromyscus maniculatus,-0.593009593,-0.874903587,-117.3091317,47.58584248
Peromyscus maniculatus,-0.03237122,-0.104134086,-122.8909017,44.08682248
Peromyscus maniculatus,-0.98114385,-1.059888267,-105.0625617,40.62945748
Peromyscus maniculatus,-0.291127392,-0.245074794,-123.5573817,48.04404748
Peromyscus maniculatus,0.463578109,-0.289118766,-123.8489667,40.75442248
Peromyscus maniculatus,-0.808639736,-0.055685717,-73.23814167,44.62833748
Peromyscus maniculatus,-0.636135621,-1.02465309,-107.8951017,37.04712748
Peromyscus maniculatus,0.614519209,-0.064494511,-122.3077317,37.29705748
Peromyscus maniculatus,-0.67926165,-0.465294652,-121.5995967,45.71136748
Peromyscus maniculatus,-0.053934235,0.494863927,-78.52832667,38.25512248
Peromyscus maniculatus,-1.110521936,-0.302331957,-85.15147167,46.75274248
Peromyscus maniculatus,0.097006865,-1.05548387,-117.8923017,35.96409748
Peromyscus maniculatus,-0.52832055,-0.778006849,-121.2663567,44.17013248
Peromyscus maniculatus,0.010754808,0.556525487,-75.11261667,40.17125248
Peromyscus maniculatus,0.743897295,-0.170200043,-122.5993167,37.96353748
Peromyscus maniculatus,1.649543896,-0.619448552,-118.1422317,34.21458748
Peromyscus maniculatus,-0.010808206,-0.381611106,-122.1411117,45.58640248
Peromyscus maniculatus,1.024216481,-0.165795646,-104.4793917,32.13183748
Peromyscus maniculatus,0.291073994,0.538907898,-95.60687667,39.12987748
Peromyscus maniculatus,-0.053934235,-0.201030823,-122.7242817,45.50309248
Peromyscus maniculatus,0.851712366,-0.306736354,-122.6409717,38.54670748
Peromyscus maniculatus,-0.67926165,-0.236266,-96.81487167,44.29509748
Peromyscus maniculatus,0.937964424,0.358327615,-118.5587817,33.00659248
Peromyscus maniculatus,-1.326152079,-0.090920894,-72.53000667,43.87854748
Peromyscus maniculatus,0.291073994,-0.192222029,-124.0572417,41.37924748
Peromyscus maniculatus,0.010754808,-0.240670397,-122.6409717,45.54474748
Peromyscus maniculatus,-0.52832055,-1.015844296,-119.0169867,43.46199748
Peromyscus maniculatus,-0.161749306,0.534503501,-81.15259167,41.29593748
Peromyscus maniculatus,-2.188672652,-1.187615784,-113.3935617,48.58556248
Peromyscus maniculatus,-0.851765764,-0.11294288,-88.35890667,44.25344248
Peromyscus maniculatus,-0.118623278,-0.055685717,-123.3491067,45.58640248
Peromyscus maniculatus,-0.075497249,-0.055685717,-123.3074517,44.75330248
Peromyscus maniculatus,0.204821937,-0.161391248,-123.3491067,43.29537748
Peromyscus maniculatus,0.247947966,-0.183413234,-124.0572417,40.92104248
Peromyscus maniculatus,-2.296487723,-1.112741033,-112.9770117,45.37812748
Peromyscus maniculatus,0.140132894,-0.253883589,-122.4743517,47.46087748
Peromyscus maniculatus,-1.110521936,-1.227255359,-109.5196467,40.54614748
Peromyscus maniculatus,0.636082223,1.071839954,-94.27391667,36.42230248
Peromyscus maniculatus,-0.98114385,-1.007035501,-114.2683167,47.37756748
Peromyscus maniculatus,0.247947966,-1.02465309,-112.0606017,36.21402748
Peromyscus maniculatus,-1.584908251,-0.165795646,-72.03014667,44.08682248
Peromyscus maniculatus,0.72233428,1.203971868,-79.56970167,35.33927248
Peromyscus maniculatus,-0.52832055,-0.14377366,-123.0991767,47.04432748
Peromyscus maniculatus,-0.248001364,0.512481515,-84.15175167,40.71276748
Peromyscus maniculatus,-0.269564378,-0.773602452,-111.5607417,40.37952748
Peromyscus maniculatus,-0.83020275,-0.016046143,-73.11317667,44.25344248
Peromyscus maniculatus,-1.92991648,-1.214042167,-105.5207667,40.04628748
Peromyscus maniculatus,0.528267152,-0.156986851,-122.9325567,38.13015748
Peromyscus maniculatus,0.053880837,-0.813242027,-111.7273617,40.25456248
Peromyscus maniculatus,-2.123983609,-1.385813656,-108.8531667,42.71220748
Peromyscus maniculatus,0.851712366,-0.319949546,-122.5576617,38.25512248
Peromyscus maniculatus,1.304535667,-0.694323304,-116.6426517,33.79803748
Peromyscus maniculatus,0.053880837,-0.104134086,-123.5573817,44.58668248
